master_id,L_CODE,E_CODE,E_NAME,L_NAME,CDS_DBF,EQPT_DBF,OPEN_DT,SCL_PREPAR,NO_EQPT,FIN_YEAR,D_TYPE,JOB_NO1,JOB_DT1,JOB_QT1,MT_LP1,ENGR_LP1,ORD_LP1,JOB_NO2,JOB_DT2,JOB_QT2,MT_LP2,ENGR_LP2,ORD_LP2,JOB_NO3,JOB_DT3,JOB_QT3,MT_LP3,ENGR_LP3,ORD_LP3,JOB_NO4,JOB_DT4,JOB_QT4,MT_LP4,ENGR_LP4,ORD_LP4,JOB_NO5,JOB_DT5,JOB_QT5,MT_LP5,ENGR_LP5,ORD_LP5,JOB_NO6,JOB_DT6,JOB_QT6,MT_LP6,ENGR_LP6,ORD_LP6,JOB_NO7,JOB_DT7,JOB_QT7,MT_LP7,ENGR_LP7,ORD_LP7,JOB_NO8,JOB_DT8,JOB_QT8,MT_LP8,ENGR_LP8,ORD_LP8,LOCK_DT1,LOCK_DT2,LOCK_DT3,LOCK_DT4,LOCK_DT5,LOCK_DT6,LOCK_DT7,LOCK_DT8,OPT,GROUP,S_CODE,F_HEAD,NEW_CDS,ACT,Ledger_code,eqpt_code
78,79,90,BD80 Engine,BD80A12E,BD80_ENG,BD80_ENG1,2018-08-09,,8,,CE,141,2015-08-31,1,0,294830,0,381,2016-03-04,1,0,181437,0,202,2017-10-28,1,0,254220,0,216,2018-07-30,1,0,0,0,14,2018-04-06,1,0,0,0,245,2018-09-13,1,,,,271,2018-10-26,1,,,,218,2018-07-30,1,,,,,,,,,,,,0,ERG,02,ENGR,Y,Y,79,90
80,81,92,BD50 Engine,BD50A15E,BD50_ENG,BD50_ENG1,2018-08-09,,1,,CE,56,2015-07-08,1,0,108994,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ERG CDS,02,ENGR,Y,Y,81,92
71,23,84,Scania Chassis,SCANIA,SCAN_CH,SCAN_CH1,2018-07-31,,19,,BC,88,2017-07-10,5,,,,123,2017-08-31,6,,,,211,2017-12-23,2,,,,278,2018-02-26,2,,,,102,2018-06-01,1,,,,153,2018-06-22,1,,,,154,2018-06-22,1,,,,103,2018-06-01,1,,,,,,,,,,,,0,SCAN CDS,06,MT,Y,Y,23,84
71,23,84,Scania Engine,SCANIA,SCAN_ENG,SCAN_ENG1,2018-08-03,,8,,BE,149,2017-09-11,1,,,,162,2017-09-20,1,,,,164,2017-09-20,1,,,,230,2018-01-09,1,,,,198,2018-07-23,1,,,,199,2018-07-23,1,,,,170,2018-07-02,1,,,,200,2018-07-23,1,,,,,,,,,,,,0,SCAN_CDS,06,MT,Y,Y,23,84
18,26,26,Kraz 255B Chassis,K255CH,KRZ_255CH,KRZ_255_1,2018-08-03,,53,,BC,182,2016-07-22,10,1536854,0,573434,247,2016-09-07,10,2217262,0,706898,382,2016-10-22,10,2391679,0,755299,11,2017-05-11,10,1043058,0,759734,166,2017-09-21,10,65670,0,180626,136,2018-06-13,1,0,0,0,90,2018-05-16,1,0,0,0,91,2018-05-16,1,,,,,,,,,,,,0,KRAZ CDS,03,MT,Y,Y,26,26
29,38,38,Kraz 255B Engine,K255CH,KRZ_255EN,KRZ_255E_1,2018-08-03,,0,,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KRAZ CDS,03,MT,Y,Y,38,38
77,78,89,BD80A12,BD80A12C,BD80_CH,BD80_CH1,2018-08-06,,5,,CC,199,2017-10-28,1,0,96254,12101,215,2018-07-30,1,0,0,0,217,2018-07-30,1,0,0,0,244,2018-09-13,1,,,,270,2018-10-26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR CDS,02,ENGR,Y,Y,78,89
51,59,59,BD14W,BD14W,BD14W_CH,BD14W_CH1,2018-08-06,,2,,CC,215,2017-12-01,1,,,,285,2018-03-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR CDS,02,MT,Y,Y,59,59
42,55,55,JCB 3DX U/V,JCBCH,JCB_CH,JCB_CH1,2018-08-06,,6,,CC,42,2016-05-10,1,,,,161,2016-07-11,1,,,,671,2017-02-04,1,,,,03,2018-04-04,1,,,,05,2018-04-04,1,,,,296,2018-11-21,1,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR CDS,02,MT,Y,Y,55,55
57,68,70,TATA JD,TATAJD,TATAJD_CH,TATAJD_CH1,2018-08-06,,8,,CC,36,2016-05-10,1,,,,151,2016-07-11,1,,,,192,2017-10-16,1,,,,01,2018-04-04,1,,,,07,2018-04-04,1,,,,09,2018-04-04,1,,,,11,2018-04-04,1,,,,51,2018-04-16,1,,,,,,,,,,,,0,ENGR CDS,02,ENGR,Y,Y,68,70
