L_CODE,E_CODE,E_NAME,DEM_NO,DEM_DT,SCL_PREPAR,NO_EQPT,FIN_YEAR,D_TYPE,N1,N2,N3,N4,N5,N6,N7,N8,N9,D_LOCK,YN,JOB_NO,JOB_DT,CTRL_NO,CTRL_DT,OPT,DEM,FULL_RECD,PART_RECD,OUTS,PER_RECD,DEP_DELE,IN_IIL,IN_CVIL,CRITICAL,CTRL_NA,VED,VED_FULL,VED_PART,VED_OUTS,VED_PER,VED_DELE,VED_IIL,VED_CVIL,VED_CRI,VED_CTRLNA,CONS_FM,CONS_TO,CONS_EQPT,LAST_SOUPD,DEMD,FULL_RECDD,PART_RECDD,OUTSD,DEP_DELED,IN_IILD,IN_CVILD,CRITICALD,CTRL_NAD,VEDD,VED_FULLD,VED_PARTD,VED_OUTSD,VED_DELED,VED_IILD,VED_CVILD,VED_CRID,VED_CTLNAD
55,A1,,,,,,2004-2005,,589.0,0.0,0.0,0.0,0.0,565.0,0.0,24.0,95.93,,,,,,,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,2012-09-29,,,,,,,,,,,,,,,,,,
55,55,JCB CHASSIS,0001,2004-06-06,,,2005-2006,APD,589.0,0.0,0.0,0.0,0.0,565.0,0.0,24.0,95.93,,Y,,,,,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55,55,JCB CHASSIS,0001,2004-11-10,,,2004-2005,APD,1264.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,0.0,,Y,,,,,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,2018-03-30,,,,,,,,,,,,,,,,,,
18,17,OBM 30 HP,0001,2004-07-22,,,2005-2006,APD,142.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,,Y,,,,,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,2016-08-03,,,,,,,,,,,,,,,,,,
55,55,JCB CHASSIS,0001,2004-11-29,,,2004-2005,APD,1264.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,0.0,,Y,,,,,0,1264,0,0,1264,0.0,0,0,0,0,1264,1115,0,0,1115,0.0,0,0,0,0,1115,,,,2016-07-27,,,,,,,,,,,,,,,,,,
33,33,MG 605 CH,0003,2005-06-01,,,2006-2007,APD,296.0,0.0,0.0,0.0,0.0,207.0,13.0,76.0,69.93,,Y,,,G/OS/23,2005-06-17,0,296,240,8,56,81.08,0,0,0,2,296,192,147,7,45,76.56,0,0,0,2,192,,,,2015-03-25,,,,,,,,,,,,,,,,,,
38,38,D80-A12 ENG,0004,2005-06-01,,,2006-2007,APD,151.0,0.0,0.0,0.0,0.0,115.0,13.0,23.0,76.16,,Y,,,G/OS/27,2005-06-22,0,151,129,12,22,85.43,0,0,0,15,151,95,87,6,2,91.58,0,0,0,5,95,,,,,,,,,,,,,,,,,,,,,,
33,34,MG 605 ENG,0006,2005-06-01,,,2006-2007,APD,148.0,0.0,0.0,0.0,0.0,94.0,2.0,52.0,63.51,,Y,,,G/OS/21,2005-06-16,0,148,120,2,28,81.08,0,0,0,4,148,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
43,43,G14D1 CH,0007,2005-06-04,,,2006-2007,APD,134.0,0.0,0.0,0.0,0.0,101.0,3.0,30.0,75.37,,Y,,,G/OS/25,2005-06-22,0,134,116,0,18,86.57,0,0,0,9,134,25,24,0,1,96.0,0,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,
43,43,G14D1 CH,0008,2005-06-04,,,2006-2007,APD,144.0,0.0,0.0,0.0,0.0,85.0,6.0,53.0,59.03,,Y,,,G/OS/26,2005-06-22,0,144,105,0,39,72.92,0,0,0,7,144,13,12,0,1,92.31,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,
49,49,MINE LEYER,0009,2005-06-10,,,2006-2007,APD,170.0,0.0,0.0,0.0,0.0,41.0,4.0,125.0,24.12,,Y,,,,,0,170,41,4,129,24.12,0,0,0,0,170,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
18,18,OBM 35 HP,001,2004-08-04,,,2005-2006,APD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Y,,,,,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
